,vertices,k_level_degree_node_1,k_level_degree_node_2,no_of_triangles_node_1,no_of_triangles_node_2,clique_number_node_1,clique_number_node_2,coreness_node_1,coreness_node_2,betweenness_node_1,betweenness_node_2,closeness_node_1,closeness_node_2,harmonic_node_1,harmonic_node_2,eigenvector_node_1,eigenvector_node_2,decay_node_1,decay_node_2,pagerank_node_1,pagerank_node_2,loc_clust_coef_node_1,loc_clust_coef_node_2,glob_clust_coef_node_1,glob_clust_coef_node_2,shannon_node_1,shannon_node_2,h_index_node_1,h_index_node_2,nbd_density_node_1,nbd_density_node_2,RWR_node_1,RWR_node_2,local_random_walk_node_1,local_random_walk_node_2,are_connected,common_triangles,common_neighbors,jaccard_index,sorenson_dice,hub_promoted,hub_depressed,leicht_holme_newman,resource_allocation,adamic_adar,pref_attachment,overlap_coeff,nbd_overlap,edge_connectivity,avg_commute_time,cosine_L+,L+,matrix_forest_index
10,"(0, 11)",16,1,18,0,5,2,4,1,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,0.22490473695898955,0.49999999999999994,0.15,0.0,0.36231884057971014,0.0,1.0,1.0,5,1,0.25,1.0,0.2663736031484309,0.16202843301717137,0.09699728538829475,0.009564745492135509,1,0,2,0.11764705882352941,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,16,0.0,0.13333333333333333,1,0.012820512820512818,0.20980749757360512,0.06597098841522854,0.04880301882512962
11,"(0, 12)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.5,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.17398697583020334,0.09699728538829475,0.014644892011877124,1,1,3,0.17647058823529413,0.3,0.5,0.0625,0.03125,0.16666666666666666,0.5581106265512472,32,0.5,0.2,2,0.02279102450658159,0.21352073291895693,0.04962912929438724,0.04674703307918928
12,"(0, 13)",16,5,18,6,5,5,4,4,88.41666666666666,0.0,1.0,0.8333333333333334,1.0,0.9,1.0,0.951136103880145,8.0,3.0,0.22490473695898955,0.17661043812974073,0.15,1.0,0.36231884057971014,0.8823529411764706,1.0,1.0,5,5,0.25,0.7333333333333333,0.2663736031484309,0.1833543770850948,0.09699728538829475,0.029536456151913672,1,3,5,0.2777777777777778,0.43478260869565216,0.6,0.1875,0.0375,0.37777777777777777,1.4475247217679177,80,0.6,0.3125,4,0.04598774778115593,0.13331772406567857,0.01940937290542425,0.0383689184879195
13,"(0, 14)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.1684877994002986,0.09699728538829475,0.014535993997921253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,3,0.017306635596466502,-0.22346613876429777,-0.050886056938450754,0.010817324113471537
14,"(0, 15)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.1684877994002986,0.09699728538829475,0.014535993997921253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,3,0.0173066355964665,-0.22346613876429766,-0.05088605693845074,0.010817324113471537
15,"(0, 16)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,8.0,2.0,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.20955455761078315,0.09699728538829475,0.016784005444189665,0,0,2,0.1111111111111111,0.2,1.0,0.125,0.0625,0.5,1.4426950408889634,32,0.125,0.125,3,0.015384615384615347,0.14817290863626748,0.041461184493659944,0.02892030745192874
16,"(0, 17)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.5,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.17022844065511863,0.09699728538829475,0.014558677209021497,1,1,3,0.17647058823529413,0.3,0.5,0.0625,0.03125,0.1111111111111111,0.45511961331341866,32,0.5,0.2,2,0.02338374036841169,0.20519658047448813,0.04685279174854586,0.04604742731044913
17,"(0, 18)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,8.0,2.0,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.1684877994002986,0.09699728538829475,0.014535993997921253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,3,0.017306635596466502,-0.22346613876429786,-0.05088605693845077,0.010817324113471534
18,"(0, 19)",16,3,18,1,5,3,4,2,88.41666666666666,0.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.8546376797184616,8.0,2.0,0.22490473695898955,0.24592781858831045,0.15,1.0,0.36231884057971014,0.6,1.0,1.0,5,3,0.25,0.6666666666666666,0.2663736031484309,0.17045988174968588,0.09699728538829475,0.019604636325652788,1,1,3,0.16666666666666666,0.2857142857142857,0.3333333333333333,0.0625,0.020833333333333332,0.1111111111111111,0.45511961331341866,48,0.3333333333333333,0.1875,2,0.03195877373210163,0.1093920700036089,0.01985817893740151,0.03876300214568308
19,"(0, 20)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.1684877994002986,0.09699728538829475,0.014535993997921253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,3,0.017306635596466502,-0.22346613876429774,-0.05088605693845075,0.010817324113471548
20,"(0, 21)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,8.0,1.5,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.17022844065511863,0.09699728538829475,0.014558677209021497,1,1,3,0.17647058823529413,0.3,0.5,0.0625,0.03125,0.1111111111111111,0.45511961331341866,32,0.5,0.2,2,0.023383740368411697,0.2051965804744882,0.04685279174854587,0.04604742731044912
21,"(0, 22)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.1684877994002986,0.09699728538829475,0.014535993997921253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,3,0.017306635596466502,-0.22346613876429763,-0.050886056938450726,0.010817324113471546
22,"(0, 23)",16,5,18,4,5,4,4,3,88.41666666666666,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.5,0.22490473695898955,0.2728956222252333,0.15,0.4,0.36231884057971014,0.6521739130434783,1.0,1.0,5,4,0.25,0.6,0.2663736031484309,0.20020911437206565,0.09699728538829475,0.03152251477667804,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,9,0.02794450774407814,-0.3004597673397749,-0.04798709882444585,0.01172855414230145
23,"(0, 24)",16,3,18,1,5,3,4,2,88.41666666666666,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.5,0.22490473695898955,0.3667358671351006,0.15,0.3333333333333333,0.36231884057971014,0.6,1.0,1.0,5,3,0.25,0.6666666666666666,0.2663736031484309,0.2022836140869774,0.09699728538829475,0.021076033559222822,0,0,1,0.05,0.09523809523809523,0.3333333333333333,0.0625,0.020833333333333332,0.16666666666666666,0.5581106265512472,48,0.0625,0.05555555555555555,4,0.01955805047444155,-0.215716848496624,-0.04561983553042141,0.013027752537865525
24,"(0, 25)",16,3,18,0,5,3,4,2,88.41666666666666,0.0,1.0,0.6,1.0,0.6666666666666666,1.0,0.46081112718911094,8.0,2.5,0.22490473695898955,0.1414084956882785,0.15,0.0,0.36231884057971014,0.6,1.0,1.0,5,3,0.25,0.6666666666666666,0.2663736031484309,0.2002794874276951,0.09699728538829475,0.021006197394493005,0,0,1,0.05,0.09523809523809523,0.3333333333333333,0.0625,0.020833333333333332,0.16666666666666666,0.5581106265512472,48,0.0625,0.05555555555555555,4,0.019549402928403143,-0.22835667766846,-0.04805631722376618,0.012405764402764693
25,"(0, 26)",16,2,18,1,5,3,4,2,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.22490473695898955,0.3333333333333333,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,2,0.25,1.0,0.2663736031484309,0.17990499128576895,0.09699728538829475,0.015044038082725551,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,3,0.015805088959379394,-0.24113673109649275,-0.057704351180632364,0.009194939981402828
26,"(0, 27)",16,4,18,0,5,3,4,2,88.41666666666666,0.0,1.0,0.5714285714285714,1.0,0.625,1.0,0.42681725548354604,8.0,3.0,0.22490473695898955,0.11205424409844297,0.15,0.0,0.36231884057971014,0.375,1.0,1.0,5,3,0.25,0.5,0.2663736031484309,0.189371306343247,0.09699728538829475,0.025639767482847988,0,0,1,0.047619047619047616,0.09090909090909091,0.25,0.0625,0.015625,0.1,0.43429448190325176,64,0.0625,0.05263157894736842,5,0.026835589171557903,-0.223883594050934,-0.03824117205106649,0.014838494817805626
27,"(0, 28)",16,3,18,0,5,3,4,2,88.41666666666666,0.0,1.0,0.6,1.0,0.6666666666666666,1.0,0.46081112718911127,8.0,2.5,0.22490473695898955,0.1414084956882785,0.15,0.0,0.36231884057971014,0.6,1.0,1.0,5,3,0.25,0.6666666666666666,0.2663736031484309,0.17463116736553083,0.09699728538829475,0.01957345946382851,0,0,2,0.10526315789473684,0.19047619047619047,0.6666666666666666,0.125,0.041666666666666664,0.26666666666666666,0.9924051084544989,48,0.125,0.11764705882352941,4,0.025001447169310593,-0.14407535726328877,-0.02683600215331599,0.018575729584938225
28,"(0, 29)",16,4,18,3,5,4,4,3,88.41666666666666,0.0,1.0,0.8,1.0,0.875,1.0,0.8608058531117031,8.0,3.0,0.22490473695898955,0.18740943487361136,0.15,1.0,0.36231884057971014,0.7894736842105263,1.0,1.0,5,3,0.25,0.8,0.2663736031484309,0.19802855242404827,0.09699728538829475,0.026288537695114873,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,8,0.024025876098070855,-0.2903688606861158,-0.05186589097049486,0.010675093292823793
29,"(0, 30)",16,4,18,0,5,4,4,3,88.41666666666666,0.0,1.0,0.5714285714285714,1.0,0.625,1.0,0.324030399223269,8.0,3.0,0.22490473695898955,0.09036187746327481,0.15,0.0,0.36231884057971014,0.8,1.0,1.0,5,4,0.25,0.7,0.2663736031484309,0.17961079871686048,0.09699728538829475,0.024590155248580117,0,0,2,0.1,0.18181818181818182,0.5,0.125,0.03125,0.3111111111111111,1.0764545478730305,64,0.125,0.1111111111111111,7,0.031187207997778684,-0.12068789755951043,-0.019599573536295267,0.020707370706109233
30,"(0, 31)",16,6,18,0,5,3,4,2,88.41666666666666,0.0,1.0,0.5454545454545454,1.0,0.5833333333333333,1.0,0.32569009686255507,8.0,3.5,0.22490473695898955,0.06633646345585595,0.15,0.0,0.36231884057971014,0.4090909090909091,1.0,1.0,5,3,0.25,0.4285714285714286,0.2663736031484309,0.2032003065530631,0.09699728538829475,0.0371580870691453,1,0,2,0.09090909090909091,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,96,0.0,0.1,1,0.03673530630019198,-0.14897614444493523,-0.021150252610549036,0.024866750930891773
31,"(0, 32)",16,12,18,1,5,4,4,3,88.41666666666666,0.0,1.0,0.5454545454545454,1.0,0.5833333333333333,1.0,0.28344001531877455,8.0,7.0,0.22490473695898955,0.04444191880616045,0.15,1.0,0.36231884057971014,0.3146853146853147,1.0,1.0,5,5,0.25,0.32051282051282054,0.2663736031484309,0.24486605346668006,0.09699728538829475,0.0716932260057545,0,0,3,0.1111111111111111,0.2,0.25,0.1875,0.015625,0.4666666666666667,1.613740043014111,192,0.1875,0.12,25,0.04289563047733086,-0.34729524291864644,-0.038229302486131725,0.015542245689029816
32,"(0, 33)",16,17,18,3,5,4,4,3,88.41666666666666,0.0,1.0,0.5483870967741935,1.0,0.5882352941176471,1.0,0.38611109883387024,8.0,9.5,0.22490473695898955,0.04613850953818,0.15,1.0,0.36231884057971014,0.2318181818181818,1.0,1.0,5,5,0.25,0.2091503267973856,0.2663736031484309,0.26763790586726305,0.09699728538829475,0.1009191823326258,0,0,4,0.12903225806451613,0.22857142857142856,0.25,0.23529411764705882,0.014705882352941176,0.9,2.7110197222973085,272,0.25,0.13793103448275862,32,0.05051377747376771,-0.3680559692791925,-0.03413104668488737,0.01690972665138483
33,"(1, 2)",9,10,12,10,5,5,4,4,7.75,2.25,0.9,0.7142857142857143,0.9444444444444444,0.8,0.9692407329910606,0.8566275380473688,5.0,5.5,0.18159708807555924,0.13060383617745283,0.42857142857142855,0.6666666666666667,0.5757575757575758,0.5625,1.0,1.0,4,5,0.4666666666666667,0.38181818181818183,0.22435018352470834,0.21500978351953767,0.05287692406114573,0.057078509488462034,1,4,6,0.4,0.5714285714285714,0.4444444444444444,0.4,0.044444444444444446,0.6791666666666667,2.261466841777582,90,0.4,0.46153846153846156,5,0.055372807145365716,0.15536983464890455,0.021116587428871677,0.040455003382585626
34,"(1, 3)",9,6,12,10,5,5,4,4,7.75,2.25,0.9,1.0,0.9444444444444444,1.0,0.9692407329910602,0.9999999999999997,5.0,3.5,0.18159708807555924,0.18433699645765958,0.42857142857142855,0.6666666666666667,0.5757575757575758,0.8095238095238095,1.0,1.0,4,4,0.4666666666666667,0.7619047619047619,0.22435018352470834,0.2060466647442102,0.05287692406114573,0.035859857786411375,1,4,6,0.5454545454545454,0.7058823529411765,0.6666666666666666,0.4444444444444444,0.07407407407407407,0.6125,2.1376506971295863,54,0.6666666666666666,0.6666666666666666,5,0.04624229808369653,0.26398069645718125,0.04859742441522036,0.05183371815147004
35,"(1, 4)",9,3,12,2,5,3,4,2,7.75,0.5,0.9,1.0,0.9444444444444444,1.0,0.9692407329910604,0.9999999999999994,5.0,2.0,0.18159708807555924,0.2952127659574468,0.42857142857142855,0.6666666666666666,0.5757575757575758,0.75,1.0,1.0,4,3,0.4666666666666667,0.8333333333333334,0.22435018352470834,0.20143086553896364,0.05287692406114573,0.021977952364589538,0,0,1,0.07692307692307693,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.0625,0.36067376022224085,27,0.1111111111111111,0.09090909090909091,5,0.0194847490988102,-0.023975786013190954,-0.006579130408333038,0.019517450950153628
36,"(1, 5)",9,4,12,2,5,3,4,2,7.75,0.5,0.9,0.8,0.9444444444444444,0.875,0.9692407329910604,0.8406653218024888,5.0,2.5,0.18159708807555924,0.2124087591240876,0.42857142857142855,0.6666666666666666,0.5757575757575758,0.6428571428571429,1.0,1.0,4,3,0.4666666666666667,0.7,0.22435018352470834,0.229202310780782,0.05287692406114573,0.029111154678370145,0,0,1,0.07142857142857142,0.13333333333333333,0.25,0.1111111111111111,0.027777777777777776,0.0625,0.36067376022224085,36,0.1111111111111111,0.08333333333333333,7,0.02029650817269161,-0.043466663181965334,-0.01148109119264686,0.018016108569372573
37,"(1, 6)",9,4,12,2,5,3,4,2,7.75,0.5,0.9,0.8,0.9444444444444444,0.875,0.9692407329910603,0.8406653218024878,5.0,2.5,0.18159708807555924,0.2124087591240876,0.42857142857142855,0.6666666666666666,0.5757575757575758,0.6428571428571429,1.0,1.0,4,3,0.4666666666666667,0.7,0.22435018352470834,0.229202310780782,0.05287692406114573,0.029111154678370138,0,0,1,0.07142857142857142,0.13333333333333333,0.25,0.1111111111111111,0.027777777777777776,0.0625,0.36067376022224085,36,0.1111111111111111,0.08333333333333333,7,0.020296508172691612,-0.04346666318196507,-0.011481091192646791,0.018016108569372583
38,"(1, 7)",9,4,12,6,5,5,4,4,7.75,0.0,0.9,1.0,0.9444444444444444,1.0,0.9692407329910602,1.0,5.0,2.5,0.18159708807555924,0.2,0.42857142857142855,1.0,0.5757575757575758,1.0,1.0,1.0,4,4,0.4666666666666667,1.0,0.22435018352470834,0.18363266443077278,0.05287692406114573,0.024490497035282385,1,3,5,0.5,0.6666666666666666,0.75,0.3333333333333333,0.08333333333333333,0.32916666666666666,1.3530788686767399,36,0.75,0.625,4,0.038214777769376,0.2610720446267848,0.05529694912283868,0.055686782441513545
39,"(1, 8)",9,5,12,1,5,4,4,3,7.75,0.0,0.9,0.625,0.9444444444444444,0.7000000000000001,0.9692407329910602,0.4725163600787214,5.0,3.0,0.18159708807555924,0.10973438797380142,0.42857142857142855,1.0,0.5757575757575758,0.6923076923076923,1.0,1.0,4,4,0.4666666666666667,0.6666666666666667,0.22435018352470834,0.1824831111392692,0.05287692406114573,0.029766056081016963,0,0,3,0.23076923076923078,0.375,0.6,0.3333333333333333,0.06666666666666667,0.4125,1.5163157625699744,45,0.3333333333333333,0.2727272727272727,10,0.03437165578319514,-0.006253811228087304,-0.001141554731144788,0.026902138372339925
40,"(1, 9)",9,2,12,0,5,2,4,1,7.75,0.0,0.9,0.6666666666666666,0.9444444444444444,0.75,0.9692407329910605,0.7071067811865475,5.0,2.0,0.18159708807555924,0.25675675675675674,0.42857142857142855,0.0,0.5757575757575758,0.0,1.0,1.0,4,2,0.4666666666666667,0.6666666666666666,0.22435018352470834,0.16684982397327497,0.05287692406114573,0.014309397129032916,0,0,1,0.08333333333333333,0.15384615384615385,0.5,0.1111111111111111,0.05555555555555555,0.1,0.43429448190325176,18,0.1111111111111111,0.1,2,0.01819753618103702,-0.049989382760665696,-0.014148742142312433,0.020191823228657937
41,"(1, 10)",9,3,12,2,5,3,4,2,7.75,0.5,0.9,1.0,0.9444444444444444,1.0,0.9692407329910607,1.0,5.0,2.0,0.18159708807555924,0.2952127659574468,0.42857142857142855,0.6666666666666666,0.5757575757575758,0.75,1.0,1.0,4,3,0.4666666666666667,0.8333333333333334,0.22435018352470834,0.2014308655389636,0.05287692406114573,0.021977952364589538,0,0,1,0.07692307692307693,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.0625,0.36067376022224085,27,0.1111111111111111,0.09090909090909091,5,0.019484749098810195,-0.023975786013191225,-0.006579130408333113,0.019517450950153642
42,"(1, 11)",9,1,12,0,5,2,4,1,7.75,0.0,0.9,1.0,0.9444444444444444,1.0,0.9692407329910603,1.0,5.0,1.0,0.18159708807555924,0.49999999999999994,0.42857142857142855,0.0,0.5757575757575758,0.0,1.0,1.0,4,1,0.4666666666666667,1.0,0.22435018352470834,0.16202843301717137,0.05287692406114573,0.009564745492135509,0,0,1,0.09090909090909091,0.16666666666666666,1.0,0.1111111111111111,0.1111111111111111,0.0625,0.36067376022224085,9,1.0,0.1111111111111111,1,0.010745867164244555,-0.00420939881282236,-0.0016771696240193959,0.020268122140543864
43,"(1, 12)",9,2,12,1,5,3,4,2,7.75,0.0,0.9,1.0,0.9444444444444444,1.0,0.9692407329910603,0.9999999999999998,5.0,1.5,0.18159708807555924,0.3333333333333333,0.42857142857142855,1.0,0.5757575757575758,1.0,1.0,1.0,4,2,0.4666666666666667,1.0,0.22435018352470834,0.17398697583020334,0.05287692406114573,0.014644892011877124,0,0,2,0.18181818181818182,0.3076923076923077,1.0,0.2222222222222222,0.1111111111111111,0.22916666666666666,0.9187843867734881,18,0.2222222222222222,0.2222222222222222,3,0.019060251170932112,0.07965422839802745,0.02346012739560044,0.030789987477519463
44,"(1, 13)",9,5,12,6,5,5,4,4,7.75,0.0,0.9,0.8333333333333334,0.9444444444444444,0.9,0.9692407329910606,0.9511361038801449,5.0,3.0,0.18159708807555924,0.17661043812974073,0.42857142857142855,1.0,0.5757575757575758,0.8823529411764706,1.0,1.0,4,5,0.4666666666666667,0.7333333333333333,0.22435018352470834,0.1833543770850948,0.05287692406114573,0.029536456151913672,1,3,5,0.45454545454545453,0.625,0.6,0.3333333333333333,0.06666666666666667,0.32916666666666666,1.3530788686767399,45,0.6,0.5555555555555556,4,0.04347501566365629,0.21811127166651745,0.04023709789674814,0.049759063085159344
